"!!id","!!type","zoom","ID","ID del rio","superficie (m2)","Y","X","jobs","jobItems"
"II0630","intersezioni","50.0000000002626","II0630","","153","5035039.54378693","2312406.1484568","[00104, 00232]","[00104SC0007, 00104SC0008, 00104SC0010]"
"II0635","intersezioni","50.0000000003777","II0635","POLO","90","5035040.64359855","2311084.64049697","[232/1, 00102, 00517]","[00102SC0004, 00102SC0005, 00102SC0013, 00102SC0023]"
"II0640","intersezioni","49.9999999997466","II0640","","1","5035027.5958335","2311055.81992039","[]","[]"
"II0645","intersezioni","50.0000000002116","II0645","ZIRA","2","5035024.59634729","2310093.13844618","[]","[]"
"II0650","intersezioni","49.999999999857","II0650","NOVO","559","5035021.38689704","2310391.09125693","[232/1, 00517]","[]"
"II0655","intersezioni","50.0000000001386","II0655","MOND","74","5035016.38775333","2311962.54247211","[00103, 00232]","[00103SC0012, 00103SC0030, 00103SC0032, 00103SC0119]"
"II0665","intersezioni","58.4937840072383","II0665","GRAN","2","5035009.62891952","2311564.49265513","[]","[]"
"II0670","intersezioni","49.9999999999754","II0670","ARZE","142","5034997.75094565","2310024.95036383","[232/1, 00517]","[]"
"II0675","intersezioni","50.0000000001386","II0675","LORE","92","5034996.10122821","2312298.07335626","[00136, 00232]","[00136SC0004, 00136SC0007, 00136SC0011, 00136SC0015]"
"II0680","intersezioni","50.0000000000456","II0680","SEVE","73","5034989.87229517","2312149.45978518","[00103, 00232]","[00103SC0015, 00103SC0019, 00103SC0022, 00103SC0112]"
"II0685","intersezioni","49.9999999998819","II0685","FRAR","1","5034985.2530864","2310987.75553154","[]","[]"
"II0690","intersezioni","49.9999999996909","II0690","","0","5034977.14447532","2311204.48296896","[]","[]"
"II0695","intersezioni","65.5563729694889","II0695","GRAN","8","5034974.25497757","2311495.40575007","[]","[]"
"II0700","intersezioni","50.000000000026","II0700","FRAR","0","5034959.50749637","2311010.4574049","[]","[]"
"II0705","intersezioni","50.0000000003584","II0705","","63","5034960.07739875","2312688.96118756","[00115, 00232, 00447]","[00115SC0004, 00115SC0009, 00115SC0011, 00447SC0007]"
"II0710","intersezioni","50.0000000002404","II0710","NOVO","8","5034957.69780636","2310395.61843766","[]","[]"
"II0715","intersezioni","50.0000000000237","II0715","POLO","2","5034946.66969536","2311096.32540604","[]","[]"
"II0720","intersezioni","49.9999999997129","II0720","","78","5034943.74019715","2310750.47848701","[232/1, 00102, 00517]","[00102SC0010, 00102SC0011, 00102SC0018, 00102SC0024]"
